Std,ID,Material,Su,Sy,A5,Bhn,E,G,mu,Ro
ANSI,0517E01F31F644EAB31FCB2999A64AC3,Steel SAE 30302,621,255,55,155,193000,743000,0.3,8030
ANSI,0E625643E5534CC0B92EDAB787824020,Steel SAE 30302,862,517,12,,193000,743000,0.3,8030
ANSI,8FC17E7034DB4529A188DB7DC6720D73,Steel SAE 30302B,655,276,50,165,193000,743000,0.3,8030
ANSI,6CCBB0F496D64C6EA71B2E75C76FA0F5,Steel SAE 30303,621,241,50,160,193000,743000,0.3,8030
ANSI,6E889E820D974516A9CF03B271A6C03E,Steel SAE 30304,586,241,55,150,193000,743000,0.3,8030
ANSI,BC6CFCE37E9B4DA0B864F2FB40722808,Steel SAE 30304L,552,207,55,140,193000,743000,0.3,8030
ANSI,373B847B50794DA990E9FBADAFB020CD,Steel SAE 30305,586,255,55,156,193000,743000,0.3,8030
ANSI,FDAA4C64583B482C801BA7EE173FD876,Steel SAE 30308,586,241,55,150,193000,743000,0.3,8030
ANSI,AE5E236D6CD94CEA887FB09A4669D04B,Steel SAE 30309,621,276,45,165,193000,743000,0.3,8030
ANSI,BC2959E1EF8C408EA2F6D02DD321BFE8,Steel SAE 30310,655,276,45,170,193000,743000,0.3,8030
ANSI,7387DCA5E54C41EDBF5501E86C56DCAF,Steel SAE 30314,689,345,45,170,193000,743000,0.3,8030
ANSI,03A4FAFAA2354ABBA7C8AA7225DDD6C6,Steel SAE 30316,586,241,55,150,193000,743000,0.3,8030
ANSI,795E6C75AF4C48EDA86F32FDC34DA73D,Steel SAE 30316L,538,207,55,145,193000,743000,0.3,8030
ANSI,5E210758EF6941ED925F476D4D0E1D1C,Steel SAE 30317,621,276,50,160,193000,743000,0.3,8030
ANSI,A1E7F46F815F4E4FAE46A7231BB5099D,Steel SAE 30321,600,241,55,150,193000,743000,0.3,8030
ANSI,C82FBBCDC40E4B2CB87AA5D1B4333084,Steel SAE 30347,634,241,50,160,193000,743000,0.3,8030
ANSI,D6F2306ABB324C57A10425AA5F95B3A9,Steel SAE 30348,634,241,50,160,193000,743000,0.3,8030
ANSI,9BB2104B1A754907AD9BA3021C49F1C7,Steel SAE 51403,517,276,30,155,200000,769000,0.3,8030
ANSI,C6E2E39527334C8E894612FC38DCBC0E,Steel SAE 51403,1310,1000,15,390,200000,769000,0.3,8030
ANSI,823FEBE6673A4112996EE5B4F5AB5DD7,Steel SAE 51405,483,276,30,150,200000,769000,0.3,8030
ANSI,80978696C32542F782EBAAEF63DF6C2B,Steel SAE 51410,517,276,30,155,200000,769000,0.3,8030
ANSI,4B8B7D0FFB4940A999524B05A37F4FE9,Steel SAE 51410,1310,1000,15,390,200000,769000,0.3,8030
ANSI,0F4ED5D8DDDA49878B98737B31EE7704,Steel SAE 51414,827,655,17,235,200000,769000,0.3,8030
ANSI,368F676CFAE249A7B63D9784E030FBF3,Steel SAE 51414,1379,1034,15,415,200000,769000,0.3,8030
ANSI,0B4576C8E3494CA59998B37C43635B84,Steel SAE 51416,517,276,30,155,200000,769000,0.3,8030
ANSI,DF6116BAEBB94C7CB67DC8A355A4AD9A,Steel SAE 51416,1310,1000,15,390,200000,769000,0.3,8030
ANSI,020644C15E8441C981E4E8FF82DD281C,Steel SAE 51420,655,345,25,195,200000,769000,0.3,8030
ANSI,DFDD071158E2431C82CD795AB2DC3DC9,Steel SAE 51420,1586,1344,8,500,200000,769000,0.3,8030
ANSI,B588F89B72494AD89979B5A898971A81,Steel SAE 51430,517,310,30,155,200000,769000,0.3,8030
ANSI,D07DDC26D233420EA0F49B857B60E5F4,Steel SAE 51430F,552,379,25,170,200000,769000,0.3,8030
ANSI,DBB66391CD104B1EA25903F80285091D,Steel SAE 51431,862,655,20,260,200000,769000,0.3,8030
ANSI,988683DFB80F4128A10413EB124AFC62,Steel SAE 51431,1413,1069,15,415,200000,769000,0.3,8030
ANSI,D970A9AC0D854EBB97207E5C6EB2D265,Steel SAE 51440A,724,414,20,215,200000,769000,0.3,8030
ANSI,C027925F385841D0AD1F968DEBCD254E,Steel SAE 51440A,1793,1655,5,510,200000,769000,0.3,8030
ANSI,FA49D603FF3347E4B5CC986E959A8EFC,Steel SAE 51440C,758,448,13,230,200000,769000,0.3,8030
ANSI,DBA461E8D56645BC9FF0B36FE711A2A2,Steel SAE 51440C,1965,1896,2,580,200000,769000,0.3,8030
ANSI,D23675EDD65E421BB310370F720AB7D0,Steel SAE 51446,552,345,23,170,200000,769000,0.3,8030
ANSI,56F7E502ED9C4D97A0FE7DA3746354EA,Steel SAE 51501,483,207,28,160,200000,769000,0.3,8030
ANSI,814DE2AA2A454B22AA6F8FC935716E8C,Steel SAE 51502,483,207,30,150,200000,769000,0.3,8030
ANSI,1A53531B65474FC4B0AFD796A607847B,Grey cast iron class 20,138,138,,,80000,32000,0.25,7160
ANSI,67B793906A16472EAA330F83B53F2B8B,Grey cast iron class 25,172,172,,,98000,39000,0.25,7160
ANSI,54D9A9F3004F4D2993FB2D4A4BA00F7E,Grey cast iron class 30,207,207,,,100000,40000,0.25,7160
ANSI,C656AC5B4EDA4BDC9317FA1E80FAA176,Grey cast iron class 35,241,241,,,110000,44000,0.25,7160
ANSI,9F8C072E415F470F9371F8204FCD29FD,Grey cast iron class 40,276,276,,,117000,47000,0.25,7160
ANSI,DC242B42288B4E17A62AF551DFAE29B0,Grey cast iron class 50,345,345,,,124000,50000,0.25,7160
ANSI,623ABE2B6CFA4DAFA2B7AA4D494B6BDE,Grey cast iron class 60,414,414,,,137000,55000,0.25,7160
ANSI,09EB41BD19C947EDBB7978D6AA9CA9FC,Malleable cast iron,276,207,,,172000,68000,0.27,7160
ANSI,FF3F801C63B4429E979B9E84FE006818,Malleable cast iron,414,317,,,172000,68000,0.27,7160
ANSI,10602E22027C46F39CCD78971940298D,Malleable cast iron,552,427,,,172000,68000,0.27,7160
ANSI,9C42EE2F144D41B88593917BD5613DC9,Malleable cast iron,689,538,,,172000,68000,0.27,7160
ANSI,CFC0876E42824F0B863D89CE76BB772A,Nodular cast iron,414,276,,,159000,66000,0.2,7160
ANSI,83A69C294D084DF6BF26418BF8FEAC5A,Nodular cast iron,552,365,,,159000,66000,0.2,7160
ANSI,8D21E01514AC4A40BDF16CF6E6EF5597,Nodular cast iron,689,455,,,159000,66000,0.2,7160
ANSI,0E7E6F42B8364BB198D862DA0B262E35,Nodular cast iron,827,552,,,159000,66000,0.2,7160
ANSI,B9CF1F99A73C47B8AB2698249F843DD3,Copper Alloy C80100,172,62,40,,108000,40000,0.35,8930
ANSI,0E041E89343849A7BE8C850C10A34091,High-Copper Alloy C81300,365,248,11,,108000,40000,0.35,8930
ANSI,D0553F51250E456AA8B54835AB572E33,High-Copper Alloy C81500,352,276,17,,108000,40000,0.35,8930
ANSI,0D8DE0B29EF24661BA704748332A5BC4,High-Copper Alloy C81700,634,469,8,,108000,40000,0.35,8930
ANSI,840F372D379146F68A91A79126A11145,Red brass C83300,221,69,35,,100000,37000,0.34,8500
ANSI,8C254890422F48F38E9B0EF4A3F3AA85,Red brass C83400,241,69,30,,100000,37000,0.34,8500
ANSI,72620708CE07415AB164155A108F2696,Red brass C83600,255,117,30,,100000,37000,0.34,8500
ANSI,52E2C8E7BE1A46CF8600AF45032B557A,Red brass C83800,241,110,25,,100000,37000,0.34,8500
ANSI,49CD50A5574645B2AF1A104282B874FA,Semi-red Brass C84200,241,97,27,,100000,37000,0.34,8500
ANSI,7EA0EEC4B6944E33BE865E010AD9E1FE,Semi-red Brass C84400,234,97,26,,100000,37000,0.34,8500
ANSI,4752F3A9E6C843D6AD2FD79532E5DA03,Semi-red Brass C84500,241,97,28,,100000,37000,0.34,8500
ANSI,C2C45302018642DF8C107C2BB95112C6,Semi-red Brass C84800,241,97,30,,100000,37000,0.34,8500
ANSI,47F50A9EA5EA431BA6969263CD54D141,Yellow Brass C85200,262,90,35,,100000,37000,0.34,8500
ANSI,DD97A6D584FD4B61AD281DA8F28B12DD,Yellow Brass C85400,234,83,35,,100000,37000,0.34,8500
ANSI,CCEAA2C520AA479FB737388690EFAF73,Yellow Brass C85500,414,159,40,,100000,37000,0.34,8500
ANSI,90BBFEA4894D4DD8862B8D5371A7B002,Yellow Brass C85700,345,124,40,,100000,37000,0.34,8500
